Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Unnamed: 10,Target,mass_frac
Sodium permanganate trihydrate,,NaMnO4+3H2O,10101-50-5*,195.972,red-blk hyg cry,170 dec,,2.47,14420.0,,Na,0.11731194641
Sodium permanganate trihydrate,,NaMnO4+3H2O,10101-50-5*,195.972,red-blk hyg cry,170 dec,,2.47,14420.0,,O,0.571490958771
Sodium peroxide,,Na2O2,1313-60-6,77.979,yel hyg powder,675,,2.805,,,Na,0.58964501436
Sodium peroxide,,Na2O2,1313-60-6,77.979,yel hyg powder,675,,2.805,,,O,0.41035498564
Sodium perrhenate,,NaReO4,13472-33-8,273.195,cry,300,,5.39,,,Na,0.0841516951487
Sodium perrhenate,,NaReO4,13472-33-8,273.195,cry,300,,5.39,,,O,0.234256658249
Sodium perrhenate,,NaReO4,13472-33-8,273.195,cry,300,,5.39,,,Re,0.681591646602
Sodium persulfate,Sodium peroxydisulfate,Na2S2O8,7775-27-1,238.105,wh hyg cry,,,,,,Na,0.193106356631
Sodium persulfate,Sodium peroxydisulfate,Na2S2O8,7775-27-1,238.105,wh hyg cry,,,,,,O,0.537558390371
Sodium persulfate,Sodium peroxydisulfate,Na2S2O8,7775-27-1,238.105,wh hyg cry,,,,,,S,0.269335252998
Thallium(I) acetate,Thallous acetate,TlC2H3O2,563-68-8,263.427,hyg wh cry,131,,3.68,,,C,0.0911879603072
Thallium(I) acetate,Thallous acetate,TlC2H3O2,563-68-8,263.427,hyg wh cry,131,,3.68,,,H,0.0114787638579
Thallium(I) acetate,Thallous acetate,TlC2H3O2,563-68-8,263.427,hyg wh cry,131,,3.68,,,O,0.121471075969
Thallium(I) acetate,Thallous acetate,TlC2H3O2,563-68-8,263.427,hyg wh cry,131,,3.68,,,Tl,0.775862199866
Thallium(III) acetate,,Tl(C2H3O2)3,2570-63-0,381.514,hyg wh platelets,182 dec,,,,,C,0.188889380496
Thallium(III) acetate,,Tl(C2H3O2)3,2570-63-0,381.514,hyg wh platelets,182 dec,,,,,H,0.0237774437181
Thallium(III) acetate,,Tl(C2H3O2)3,2570-63-0,381.514,hyg wh platelets,182 dec,,,,,O,0.251618702849
Thallium(III) acetate,,Tl(C2H3O2)3,2570-63-0,381.514,hyg wh platelets,182 dec,,,,,Tl,0.535714472938
Thallium(I) azide,,TlN3,13847-66-0,246.403,yel cry,334,exp,,,,N,0.170533766985
Thallium(I) azide,,TlN3,13847-66-0,246.403,yel cry,334,exp,,,,Tl,0.829466233015
Thallium(I) bromate,,TlBrO3,14550-84-6,332.285,col needles,120 dec,,,0.493,,Br,0.240467910878
Thallium(I) bromate,,TlBrO3,14550-84-6,332.285,col needles,120 dec,,,0.493,,O,0.144448674408
Thallium(I) bromate,,TlBrO3,14550-84-6,332.285,col needles,120 dec,,,0.493,,Tl,0.615083414714
Sodium phosphate,Sodium orthophosphate,Na3PO4,7601-54-9,163.94,col cry,1583,,2.54,14.525,,Na,0.420696755157
Sodium phosphate,Sodium orthophosphate,Na3PO4,7601-54-9,163.94,col cry,1583,,2.54,14.525,,O,0.39037049234
Sodium phosphate,Sodium orthophosphate,Na3PO4,7601-54-9,163.94,col cry,1583,,2.54,14.525,,P,0.188932752503
"Sodium phosphate, chlorinated",Chlorinated trisodium phosphate,Na3PO4+NaOCl,56802-99-4,238.383,wh cry,,,,2525.0,,Cl,0.148722953929
"Sodium phosphate, chlorinated",Chlorinated trisodium phosphate,Na3PO4+NaOCl,56802-99-4,238.383,wh cry,,,,2525.0,,Na,0.385762152425
"Sodium phosphate, chlorinated",Chlorinated trisodium phosphate,Na3PO4+NaOCl,56802-99-4,238.383,wh cry,,,,2525.0,,O,0.335582042295
"Sodium phosphate, chlorinated",Chlorinated trisodium phosphate,Na3PO4+NaOCl,56802-99-4,238.383,wh cry,,,,2525.0,,P,0.129932851351
Sodium phosphate dodecahydrate,,Na3PO4+12H2O,10101-89-0,380.124,col hex cry,≈75,,1.62,14.425,,H,0.0636385971447
Sodium phosphate dodecahydrate,,Na3PO4+12H2O,10101-89-0,380.124,col hex cry,≈75,,1.62,14.425,,Na,0.181438957882
Sodium phosphate dodecahydrate,,Na3PO4+12H2O,10101-89-0,380.124,col hex cry,≈75,,1.62,14.425,,O,0.673439140661
Sodium phosphate dodecahydrate,,Na3PO4+12H2O,10101-89-0,380.124,col hex cry,≈75,,1.62,14.425,,P,0.0814833043126
Sodium phosphide,,Na3P,12058-85-4,99.943,red solid,>650,,,,,Na,0.690085945433
Sodium phosphide,,Na3P,12058-85-4,99.943,red solid,>650,,,,,P,0.309914054567
Sodium phosphinate,Sodium hypophosphite,NaH2PO2,7681-53-0,87.979,wh cry,,,,10025.0,,H,0.0229134006099
Sodium phosphinate,Sodium hypophosphite,NaH2PO2,7681-53-0,87.979,wh cry,,,,10025.0,,Na,0.261312078815
Sodium phosphinate,Sodium hypophosphite,NaH2PO2,7681-53-0,87.979,wh cry,,,,10025.0,,O,0.363712782227
Sodium phosphinate,Sodium hypophosphite,NaH2PO2,7681-53-0,87.979,wh cry,,,,10025.0,,P,0.352061738348
Sodium phosphinate monohydrate,Sodium hypophosphite monohydrate,NaH2PO2+H2O,10039-56-2,105.994,col hyg cry,310 dec,,,10025.0,,H,0.0380378073343
Sodium phosphinate monohydrate,Sodium hypophosphite monohydrate,NaH2PO2+H2O,10039-56-2,105.994,col hyg cry,310 dec,,,10025.0,,Na,0.216897934037
Sodium phosphinate monohydrate,Sodium hypophosphite monohydrate,NaH2PO2+H2O,10039-56-2,105.994,col hyg cry,310 dec,,,10025.0,,O,0.452841013352
Sodium phosphinate monohydrate,Sodium hypophosphite monohydrate,NaH2PO2+H2O,10039-56-2,105.994,col hyg cry,310 dec,,,10025.0,,P,0.292223245276
Sodium phosphonate pentahydrate,Sodium hydrogen phosphite pentahydrate,Na2HPO3+5H2O,13517-23-2,216.036,wh hex plates,dec 200,,,42920.0,,H,0.0513217620338
Sodium phosphonate pentahydrate,Sodium hydrogen phosphite pentahydrate,Na2HPO3+5H2O,13517-23-2,216.036,wh hex plates,dec 200,,,42920.0,,Na,0.212832919023
Sodium phosphonate pentahydrate,Sodium hydrogen phosphite pentahydrate,Na2HPO3+5H2O,13517-23-2,216.036,wh hex plates,dec 200,,,42920.0,,O,0.592472062359
